"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2003","30,536.31","30,536.31","30,536.31","30,536.31","","-0.99%"
"11/01/2003","30,842.28","30,842.28","30,842.28","30,842.28","","4.56%"
"10/01/2003","29,498.54","29,498.54","29,498.54","29,498.54","","5.51%"
"09/01/2003","27,957.44","27,957.44","27,957.44","27,957.44","","-2.50%"
"08/01/2003","28,673.25","28,673.25","28,673.25","28,673.25","","0.45%"
"07/01/2003","28,543.77","28,543.77","28,543.77","28,543.77","","1.92%"
"06/01/2003","28,005.42","28,005.42","28,005.42","28,005.42","","0.42%"
"05/01/2003","27,888.52","27,888.52","27,888.52","27,888.52","","5.69%"
"04/01/2003","26,387.83","26,387.83","26,387.83","26,387.83","","10.73%"
"03/01/2003","23,830.54","23,830.54","23,830.54","23,830.54","","-7.19%"
"02/01/2003","25,677.74","25,677.74","25,677.74","25,677.74","","3.32%"
"01/01/2003","24,852.97","24,852.97","24,852.97","24,852.97","","-4.14%"
"12/01/2002","25,926.64","25,926.64","25,926.64","25,926.64","","-8.88%"
"11/01/2002","28,454.64","28,454.64","28,454.64","28,454.64","","10.06%"
"10/01/2002","25,853.43","25,853.43","25,853.43","25,853.43","","10.70%"
"09/01/2002","23,354.71","23,354.71","23,354.71","23,354.71","","-16.73%"
"08/01/2002","28,047.13","28,047.13","28,047.13","28,047.13","","1.03%"
"07/01/2002","27,761.63","27,761.63","27,761.63","27,761.63","","-9.96%"
"06/01/2002","30,831.35","30,831.35","30,831.35","30,831.35","","-5.69%"
"05/01/2002","32,693.18","32,693.18","32,693.18","32,693.18","","-6.20%"
"04/01/2002","34,852.72","34,852.72","34,852.72","34,852.72","","-3.26%"
"03/01/2002","36,028.87","36,028.87","36,028.87","36,028.87","","5.91%"
"02/01/2002","34,018.19","34,018.19","34,018.19","34,018.19","","-1.09%"
"01/01/2002","34,393.97","34,393.97","34,393.97","34,393.97","","-0.45%"
"12/01/2001","34,550.14","34,550.14","34,550.14","34,550.14","","1.35%"
"11/01/2001","34,088.95","34,088.95","34,088.95","34,088.95","","4.24%"
"10/01/2001","32,702.94","32,702.94","32,702.94","32,702.94","","5.49%"
"09/01/2001","30,999.72","30,999.72","30,999.72","30,999.72","","-16.28%"
"08/01/2001","37,029.34","37,029.34","37,029.34","37,029.34","","-5.10%"
"07/01/2001","39,020.50","39,020.50","39,020.50","39,020.50","","-2.17%"
